date,change_3
2023-02-11,-3
2023-02-12,38
2023-02-13,0
2023-02-14,31
2023-02-15,0
2023-02-16,0
2023-02-17,42
2023-02-18,0
2023-02-19,-9
2023-02-20,54
2023-02-21,0
2023-02-22,26
2023-02-23,25
2023-02-24,0
2023-02-25,0
2023-02-26,2
2023-02-27,31
2023-02-28,15
2023-03-01,0
2023-03-02,-2
2023-03-03,34
2023-03-04,13
2023-03-05,1
2023-03-06,60
2023-03-07,-7
2023-03-08,27
2023-03-09,0
2023-03-10,38
2023-03-11,0
2023-03-12,1
2023-03-13,22
2023-03-14,0
2023-03-15,50
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,62
2023-03-20,0
2023-03-21,36
2023-03-22,0
2023-03-23,0
2023-03-24,10
2023-03-25,36
2023-03-26,20
2023-03-27,32
2023-03-28,14
2023-03-29,6
2023-03-30,29
2023-03-31,0
2023-04-01,20
2023-04-02,-5
2023-04-03,13
2023-04-04,25
2023-04-05,8
2023-04-06,2
2023-04-07,9
2023-04-08,10
2023-04-09,4
2023-04-10,6
2023-04-11,-2
2023-04-12,1
2023-04-13,0
2023-04-14,0
2023-04-15,0
2023-04-16,21
2023-04-17,20
2023-04-18,9
2023-04-19,0
2023-04-20,23
2023-04-21,12
2023-04-22,0
2023-04-23,11
2023-04-24,0
2023-04-25,-39
2023-04-26,-33
2023-04-27,46
2023-04-28,0
2023-04-29,-17
2023-04-30,0
2023-05-01,68
2023-05-02,0
2023-05-03,0
2023-05-04,3
2023-05-05,41
2023-05-06,0
2023-05-07,0
2023-05-08,0
2023-05-09,0
2023-05-10,46
2023-05-11,2
2023-05-12,0
2023-05-13,5
2023-05-14,0
2023-05-15,0
2023-05-16,0
2023-05-17,92
2023-05-18,0
2023-05-19,0
2023-05-20,0
2023-05-21,17
2023-05-22,65
2023-05-23,13
2023-05-24,0
2023-05-25,23
2023-05-26,0
2023-05-27,2
2023-05-28,4
2023-05-29,21
2023-05-30,-1
2023-05-31,32
2023-06-01,0
2023-06-02,0
2023-06-03,38
2023-06-04,0
2023-06-05,0
2023-06-06,0
2023-06-07,0
2023-06-08,55
2023-06-09,2
2023-06-10,14
2023-06-11,0
2023-06-12,0
2023-06-13,49
2023-06-14,0
2023-06-15,9
2023-06-16,0
2023-06-17,0
2023-06-18,17
2023-06-19,0
2023-06-20,0
2023-06-21,57
2023-06-22,0
2023-06-23,0
2023-06-24,59
2023-06-25,0
2023-06-26,0
2023-06-27,69
2023-06-28,0
2023-06-29,0
2023-06-30,38
2023-07-01,-3
2023-07-02,0
2023-07-03,42
2023-07-04,0
2023-07-05,0
2023-07-06,47
2023-07-07,0
2023-07-08,15
2023-07-09,25
2023-07-10,0
2023-07-11,62
2023-07-12,0
2023-07-13,51
2023-07-14,0
2023-07-15,0
2023-07-16,62
2023-07-17,1
2023-07-18,0
2023-07-19,63
2023-07-20,0
2023-07-21,33
2023-07-22,0
2023-07-23,18
2023-07-24,42
2023-07-25,40
2023-07-26,0
2023-07-27,29
2023-07-28,0
2023-07-29,0
2023-07-30,11
2023-07-31,42
2023-08-01,0
2023-08-02,0
2023-08-03,46
2023-08-04,0
2023-08-05,29
2023-08-06,0
2023-08-07,0
2023-08-08,34
2023-08-09,0
2023-08-10,0
2023-08-11,42
2023-08-12,0
2023-08-13,0
2023-08-14,41
2023-08-15,0
2023-08-16,25
2023-08-17,15
2023-08-18,0
2023-08-19,0
2023-08-20,64
2023-08-21,0
2023-08-22,0
2023-08-23,35
2023-08-24,0
2023-08-25,24
2023-08-26,0
2023-08-27,20
2023-08-28,0
2023-08-29,49
2023-08-30,3
2023-08-31,6
2023-09-01,8
2023-09-02,13
2023-09-03,6
2023-09-04,20
2023-09-05,37
2023-09-06,11
2023-09-07,39
2023-09-08,3
2023-09-09,7
2023-09-10,24
2023-09-11,17
2023-09-12,20
2023-09-13,20
2023-09-14,2
2023-09-15,6
2023-09-16,6
2023-09-17,5
2023-09-18,13
2023-09-19,14
2023-09-20,22
2023-09-21,17
2023-09-22,-2
2023-09-23,0
2023-09-24,51
2023-09-25,9
2023-09-26,9
2023-09-27,0
2023-09-28,-1
2023-09-29,16
2023-09-30,0
2023-10-01,0
2023-10-02,0
2023-10-03,0
2023-10-04,39
2023-10-05,54
2023-10-06,0
2023-10-07,0
2023-10-08,50
2023-10-09,0
2023-10-10,0
2023-10-11,64
2023-10-12,0
2023-10-13,0
2023-10-14,54
2023-10-15,0
2023-10-16,0
2023-10-17,37
2023-10-18,46
2023-10-19,0
2023-10-20,0
2023-10-21,116
2023-10-22,0
2023-10-23,0
2023-10-24,12
2023-10-25,35
2023-10-26,0
2023-10-27,0
2023-10-28,44
2023-10-29,0
2023-10-30,0
2023-10-31,39
2023-11-01,0
2023-11-02,46
2023-11-03,0
2023-11-04,0
2023-11-05,72
2023-11-06,0
2023-11-07,0
2023-11-08,0
2023-11-09,57
2023-11-10,0
2023-11-11,0
2023-11-12,0
2023-11-13,28
2023-11-14,-22
2023-11-15,0
2023-11-16,0
2023-11-17,58
2023-11-18,0
2023-11-19,0
2023-11-20,11
2023-11-21,0
2023-11-22,0
2023-11-23,30
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,54
2023-11-28,0
2023-11-29,0
2023-11-30,33
2023-12-01,0
2023-12-02,0
2023-12-03,16
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,66
2023-12-08,-10
2023-12-09,0
2023-12-10,29
2023-12-11,0
2023-12-12,72
2023-12-13,-9
2023-12-14,0
2023-12-15,0
2023-12-16,54
2023-12-17,-5
2023-12-18,56
2023-12-19,0
